crc,take_type,allo_block,use_type,in_gw_allo,max_rate_crc,from_date,to_date,daily_vol,feav,from_month,to_month,crc_status
CRC161095,Take Groundwater,A,irrigation,True,5.5,2015-08-07,2037-08-23,396.0,31120.0,7,6,Issued - Active
CRC161447,Take Groundwater,A,irrigation,True,345.0,2015-10-06,2030-08-09,29808.0,2680029.0,7,6,Issued - Active
CRC162931,Take Groundwater,A,irrigation,True,168.0,2015-12-21,2037-05-10,14515.2,1368117.0,7,6,Issued - Active
CRC164232,Take Groundwater,A,irrigation,True,105.0,2016-02-29,2020-06-29,9072.0,83475.0,7,6,Issued - Active
CRC165409,Take Groundwater,A,irrigation,True,70.0,2016-02-05,2035-09-30,42.0,458302.0,7,6,Issued - Active
CRC167516,Take Surface Water,B,irrigation,False,200.0,2016-05-03,2031-05-03,17280.0,196000.0,7,6,Issued - Active
CRC169467,Take Surface Water,A,stockwater,False,2380.0,2016-07-04,2032-02-27,205632.0,31104000.0,7,6,Issued - Active
CRC169502,Take Surface Water,A,stockwater,False,2931.0,2016-07-05,2032-02-27,253238.4,37985760.0,7,6,Issued - Active
CRC169504,Take Surface Water,A,stockwater,False,1555.0,2016-07-05,2032-02-27,134352.0,20152800.0,7,6,Issued - Active
CRC169922,Take Groundwater,A,irrigation,True,50.0,2016-06-20,2035-08-11,4320.0,553217.0,7,6,Issued - Active
CRC170632,Take Surface Water,A,irrigation,False,45.5,2016-07-11,2030-11-09,1605.33,240500.0,7,6,Issued - Active
CRC171378,Take Groundwater,A,irrigation,True,40.0,2016-10-13,2034-08-31,3456.0,248330.0,7,6,Issued - Active
CRC171990,Take Groundwater,A,irrigation,True,25.0,2016-09-22,2030-08-23,2160.0,168860.0,7,6,Issued - Active
CRC172201,Take Groundwater,A,industrial,True,23.0,2016-10-11,2024-05-12,571.43,5475.0,7,6,Issued - Active
CRC172636,Take Groundwater,A,irrigation,True,4.88,2016-10-07,2037-08-23,386.43,38900.0,7,6,Issued - Active
CRC173404,Take Surface Water,B,other,False,200.0,2017-01-11,2030-07-26,17280.0,795447.0,7,6,Issued - Active
CRC174173,Take Groundwater,A,irrigation,True,19.8,2017-01-09,2037-06-12,576.0,26000.0,7,6,Issued - Active
