SwazGroupName,SwazName,WaterUse,Mon,MonRatio
Hinds,Middle Hinds,agriculture,2,0.6429700647578392
Hinds,Middle Hinds,agriculture,3,0.22822379114508964
Hinds,Middle Hinds,agriculture,4,0.2827019589926223
Hinds,Middle Hinds,agriculture,5,0.3461177441527794
Hinds,Middle Hinds,agriculture,6,0.02175977362064517
Hinds,Middle Hinds,agriculture,7,0.0063245263046796734
Hinds,Middle Hinds,agriculture,8,0.2692314568642119
Hinds,Middle Hinds,agriculture,9,0.32763368130253917
Hinds,Middle Hinds,agriculture,10,0.3435608998729871
Hinds,Middle Hinds,agriculture,11,0.7660353315597734
Hinds,Middle Hinds,agriculture,12,0.8501863470441922
Hinds,Middle Hinds,other,1,0.6959540014205884
Hinds,Middle Hinds,other,2,0.791986593261836
Hinds,Middle Hinds,other,3,0.6230343762276894
Hinds,Middle Hinds,other,4,0.3665742577668573
Hinds,Middle Hinds,other,5,0.2554354618616358
Hinds,Middle Hinds,other,6,0.587189243204406
Hinds,Middle Hinds,other,7,0.5906704114549837
Hinds,Middle Hinds,other,8,0.5402644039855664
Hinds,Middle Hinds,other,9,0.31913590995165536
Hinds,Middle Hinds,other,10,0.5635866557737389
Hinds,Middle Hinds,other,11,0.7346497455149377
Hinds,Middle Hinds,other,12,0.7630440367132874
Hinds,Middle Hinds,stockwater,1,0.36504716067063653
Hinds,Middle Hinds,stockwater,2,0.2549456374195827
Hinds,Middle Hinds,stockwater,3,0.28438352680894036
Hinds,Middle Hinds,stockwater,4,0.35610814044095135
Hinds,Middle Hinds,stockwater,5,0.3992093576655958
Hinds,Middle Hinds,stockwater,6,0.4122971490464307
Hinds,Middle Hinds,stockwater,7,0.5452428612511178
Hinds,Middle Hinds,stockwater,8,0.5664460187149907
Hinds,Middle Hinds,stockwater,9,0.6370254205586263
Hinds,Middle Hinds,stockwater,10,0.5977090642512056
Hinds,Middle Hinds,stockwater,11,0.5158368608943947
Hinds,Middle Hinds,stockwater,12,0.4214181616965965
Hinds,Montgomerys Drain,agriculture,1,0.26878274336913455
Hinds,Montgomerys Drain,agriculture,2,0.4813500398348664
Hinds,Montgomerys Drain,agriculture,3,1.3217851340169715
Hinds,Montgomerys Drain,agriculture,4,0.05017777510537531
Hinds,Montgomerys Drain,agriculture,5,0.004331590739357729
Hinds,Montgomerys Drain,agriculture,6,0.12890465244937532
Hinds,Montgomerys Drain,agriculture,7,0.07567122856460332
Hinds,Montgomerys Drain,agriculture,8,0.1641539619323564
Hinds,Montgomerys Drain,agriculture,9,0.2720101473208959
Hinds,Montgomerys Drain,agriculture,10,0.10668258537223604
Hinds,Montgomerys Drain,agriculture,11,0.5056016739051209
Hinds,Montgomerys Drain,agriculture,12,0.35089900854721495
Hinds,Montgomerys Drain,other,1,0.09672911706862644
Hinds,Montgomerys Drain,other,2,0.791986593261836
Hinds,Montgomerys Drain,other,3,0.6230343762276894
Hinds,Montgomerys Drain,other,4,0.3665742577668573
Hinds,Montgomerys Drain,other,5,0.2554354618616358
Hinds,Montgomerys Drain,other,6,0.587189243204406
Hinds,Montgomerys Drain,other,7,0.5906704114549837
Hinds,Montgomerys Drain,other,8,0.5402644039855664
Hinds,Montgomerys Drain,other,9,0.31913590995165536
Hinds,Montgomerys Drain,other,10,0.5635866557737389
Hinds,Montgomerys Drain,other,11,0.3580501109714683
Hinds,Montgomerys Drain,other,12,0.06528827243556568
Hinds,Northern Drain,agriculture,1,0.5502583785952317
Hinds,Northern Drain,agriculture,2,0.9137785547521221
Hinds,Northern Drain,agriculture,3,0.1807934785369795
Hinds,Northern Drain,agriculture,4,0.05095070447043788
Hinds,Northern Drain,agriculture,5,0.12881773941382424
Hinds,Northern Drain,agriculture,6,0.12890465244937532
Hinds,Northern Drain,agriculture,7,0.07567122856460332
Hinds,Northern Drain,agriculture,8,0.1641539619323564
Hinds,Northern Drain,agriculture,9,0.2720101473208959
Hinds,Northern Drain,agriculture,10,0.3256766139712556
Hinds,Northern Drain,agriculture,11,0.6586935156749233
Hinds,Northern Drain,agriculture,12,0.8308145966111087
Hinds,Northern Drain,stockwater,1,0.36504716067063653
Hinds,Northern Drain,stockwater,2,0.2549456374195827
Hinds,Northern Drain,stockwater,3,0.28438352680894036
Hinds,Northern Drain,stockwater,4,0.35610814044095135
Hinds,Northern Drain,stockwater,5,0.3992093576655958
Hinds,Northern Drain,stockwater,6,0.4122971490464307
Hinds,Northern Drain,stockwater,7,0.5452428612511178
Hinds,Northern Drain,stockwater,8,0.5664460187149907
Hinds,Northern Drain,stockwater,9,0.6370254205586263
Hinds,Northern Drain,stockwater,10,0.5977090642512056
Hinds,Northern Drain,stockwater,11,0.5158368608943947
Hinds,Northern Drain,stockwater,12,0.4214181616965965
Hinds,OShaughnessys Drain,agriculture,1,0.25426600338340055
Hinds,OShaughnessys Drain,agriculture,2,0.3094989857163041
Hinds,OShaughnessys Drain,agriculture,3,0.5971020470145102
Hinds,OShaughnessys Drain,agriculture,4,0.38603304304499186
Hinds,OShaughnessys Drain,agriculture,5,0.16910395483687599
Hinds,OShaughnessys Drain,agriculture,6,0.012762400745812839
Hinds,OShaughnessys Drain,agriculture,7,0.022585475418018468
Hinds,OShaughnessys Drain,agriculture,8,0.4342712752682805
Hinds,OShaughnessys Drain,agriculture,9,0.869640900006447
Hinds,OShaughnessys Drain,agriculture,10,2.0959304527040814
Hinds,OShaughnessys Drain,agriculture,11,1.866550952758905
Hinds,OShaughnessys Drain,agriculture,12,0.5298742288555439
Hinds,Ruapuna Plains Area,agriculture,1,0.9541004054564671
Hinds,Ruapuna Plains Area,agriculture,2,0.8188060575301177
Hinds,Ruapuna Plains Area,agriculture,3,0.709610275710103
Hinds,Ruapuna Plains Area,agriculture,4,0.36346589466358986
Hinds,Ruapuna Plains Area,agriculture,5,0.16396893928943965
Hinds,Ruapuna Plains Area,agriculture,6,0.14689576273728513
Hinds,Ruapuna Plains Area,agriculture,7,0.0907056754549566
Hinds,Ruapuna Plains Area,agriculture,8,0.16897967457288132
Hinds,Ruapuna Plains Area,agriculture,9,0.25782190315513626
Hinds,Ruapuna Plains Area,agriculture,10,0.5200830546074471
Hinds,Ruapuna Plains Area,agriculture,11,0.9446551453998624
Hinds,Ruapuna Plains Area,agriculture,12,1.4768162498156912
Hinds,Ruapuna Plains Area,other,1,0.6959540014205884
Hinds,Ruapuna Plains Area,other,2,0.791986593261836
Hinds,Ruapuna Plains Area,other,3,0.6230343762276894
Hinds,Ruapuna Plains Area,other,4,0.3665742577668573
Hinds,Ruapuna Plains Area,other,5,0.2554354618616358
Hinds,Ruapuna Plains Area,other,6,0.587189243204406
Hinds,Ruapuna Plains Area,other,7,0.5906704114549837
Hinds,Ruapuna Plains Area,other,8,0.5402644039855664
Hinds,Ruapuna Plains Area,other,9,0.31913590995165536
Hinds,Ruapuna Plains Area,other,10,0.5635866557737389
Hinds,Ruapuna Plains Area,other,11,0.7346497455149377
Hinds,Ruapuna Plains Area,other,12,0.7630440367132874
Hinds,Ruapuna Plains Area,stockwater,1,0.36504716067063653
Hinds,Ruapuna Plains Area,stockwater,2,0.2549456374195827
Hinds,Ruapuna Plains Area,stockwater,3,0.28438352680894036
Hinds,Ruapuna Plains Area,stockwater,4,0.35610814044095135
Hinds,Ruapuna Plains Area,stockwater,5,0.3992093576655958
Hinds,Ruapuna Plains Area,stockwater,6,0.4122971490464307
Hinds,Ruapuna Plains Area,stockwater,7,0.5452428612511178
Hinds,Ruapuna Plains Area,stockwater,8,0.5664460187149907
Hinds,Ruapuna Plains Area,stockwater,9,0.6370254205586263
Hinds,Ruapuna Plains Area,stockwater,10,0.5977090642512056
